GENE_NAME	mr88	mr89	mr90	mr91
UBOX5-AS1	4	3	4	1
UBOX5	69	66	83	75
FASTKD5	297	374	233	249
LZTS3	90	109	158	153
DDRGK1	521	573	569	530
ITPA	155	194	137	162
SLC4A11	43	56	43	52
C20orf194	58	66	42	54
ATRN	730	814	753	770
GFRA4	0	0	0	0
ADAM33	0	0	0	0
SIGLEC1	1	1	2	2
HSPA12B	4	3	2	1
C20orf27	237	222	178	165
SPEF1	4	6	5	8
CENPB	720	790	722	746
CDC25B	279	285	140	135
LOC101929125	1	1	0	0
AP5S1	112	120	114	104
MAVS	1899	2115	1783	1882
PANK2	272	341	249	260
MIR103A2	0	0	0	1
MIR103B2	0	0	0	0
RNF24	126	117	152	146
SMOX	56	49	38	30
LINC01433	0	0	0	0
ADRA1D	0	3	0	1
PRNP	681	748	623	650
PRND	0	0	0	0
PRNT	0	0	0	1
RASSF2	27	27	9	11
SLC23A2	295	354	273	256
TMEM230	569	601	632	664
PCNA	626	631	296	263
PCNA-AS1	0	0	0	0
CDS2	407	469	406	431
PROKR2	0	0	0	0
LINC00658	0	0	0	0
LOC643406	1	0	0	0
LINC00654	1	0	0	1
LOC101929207	0	0	0	0
GPCPD1	135	168	154	194
C20orf196	17	12	21	10
CHGB	0	0	1	1
TRMT6	152	170	110	123
MCM8	208	250	125	109
MCM8-AS1	1	1	1	3
CRLS1	473	518	341	354
LRRN4	1	2	1	0
FERMT1	61	89	33	37
CASC20	0	0	0	0
BMP2	1	1	0	0
LINC01428	0	0	0	0
LOC101929312	0	0	0	0
MIR8062	0	0	0	0
HAO1	3	1	0	2
TMX4	586	621	623	572
PLCB1	107	101	91	99
RNU105B	0	0	0	0
PLCB4	717	760	903	867
LAMP5-AS1	0	0	1	0
LAMP5	0	0	0	0
PAK7	1	2	0	1
LOC101929371	0	0	0	0
SNAP25-AS1	0	0	0	0
ANKEF1	281	283	219	263
SNAP25	0	1	6	1
MKKS	308	350	248	245
SLX4IP	35	50	50	43
JAG1	1428	1451	520	553
MIR6870	0	0	0	0
LOC101929395	1	2	0	0
LOC101929413	0	0	0	0
LOC339593	0	0	0	0
LINC00687	0	0	0	0
BTBD3	176	169	172	181
LOC101929486	0	0	0	0
LOC102606466	0	0	0	0
LOC100505515	0	0	0	0
SPTLC3	12	17	20	16
ISM1	0	0	0	1
ISM1-AS1	0	0	0	1
TASP1	92	124	99	85
ESF1	322	378	261	265
NDUFAF5	73	93	71	84
SEL1L2	0	0	0	0
MACROD2	9	4	8	4
FLRT3	0	0	0	1
MACROD2-IT1	0	0	0	0
MACROD2-AS1	0	0	0	0
LOC613266	0	0	0	0
KIF16B	64	89	134	113
SNRPB2	251	236	199	154
OTOR	0	0	0	0
PCSK2	0	0	0	0
BFSP1	15	19	16	16
DSTN	1745	1830	1572	1632
RRBP1	2080	2200	2732	2953
BANF2	0	0	0	0
SNX5	498	500	315	357
SNORD17	3	4	5	5
MGME1	208	241	143	170
OVOL2	108	129	87	87
PET117	22	21	22	24
CSRP2BP	146	141	115	114
ZNF133	91	100	107	86
LINC00851	0	0	0	0
DZANK1	30	23	27	23
POLR3F	155	168	121	138
MIR3192	0	1	0	0
RBBP9	228	229	227	229
SEC23B	1949	2129	2334	2386
LINC00493	274	280	296	336
DTD1	206	235	173	188
LOC101929526	0	0	1	0
LINC00652	1	1	1	0
LOC100270804	13	7	17	18
C20orf78	0	0	0	0
SCP2D1	0	0	0	0
SLC24A3	0	0	0	1
LOC100130264	0	0	0	0
RIN2	128	164	132	122
NAA20	659	767	660	670
CRNKL1	627	674	687	670
CFAP61	3	4	4	5
INSM1	0	0	0	0
RALGAPA2	315	327	269	297
KIZ	80	86	77	88
KIZ-AS1	0	2	0	0
XRN2	1018	1139	863	927
NKX2-4	0	0	0	0
NKX2-2	0	0	0	0
LOC101929625	0	0	0	0
LOC101929608	0	0	0	0
PAX1	21	23	6	14
LINC01432	0	0	0	0
LINC01427	0	0	0	0
LOC284788	0	0	0	1
LINC00261	0	0	0	0
FOXA2	0	0	0	0
LINC01384	0	0	0	0
SSTR4	0	0	0	0
THBD	0	0	0	0
CD93	1	0	0	0
LINC00656	0	0	0	0
NXT1	70	86	41	47
LINC01431	3	3	6	8
GZF1	245	294	240	249
NAPB	169	164	112	126
CSTL1	0	0	0	0
CST11	0	0	0	0
CST8	0	0	0	0
CST13P	0	0	0	0
CST9L	0	0	0	0
CST9	0	0	0	0
CST3	851	941	924	936
CST4	0	0	0	0
CST1	0	0	0	0
CST2	0	0	0	0
CST5	0	0	0	0
GGTLC1	0	0	0	1
FLJ33581	0	0	0	0
SYNDIG1	0	0	0	0
CST7	2	0	0	0
APMAP	1542	1582	1991	2061
ACSS1	8	2	6	7
VSX1	0	0	1	0
LOC284798	0	0	0	0
LOC101926889	9	10	16	12
ENTPD6	1079	1279	1141	1252
PYGB	2105	2285	1911	1954
ABHD12	645	721	772	856
GINS1	239	293	106	99
NINL	12	11	9	9
NANP	90	81	75	74
ZNF337-AS1	39	49	46	40
ZNF337	213	226	181	173
FAM182B	1	1	0	1
LOC101926935	13	8	8	4
LOC101926955	0	1	0	0
LOC100134868	0	0	0	1
FAM182A	0	1	0	0
NCOR1P1	0	0	0	0
MIR663AHG	0	0	0	0
MIR663A	0	0	0	0
FRG1CP	30	39	32	34
FRG1DP	12	8	10	14
FRG2EP	1	0	2	1
MIR4477B	0	0	0	0
MIR4477A	0	0	0	0
FRG1BP	64	76	62	55
MLLT10P1	3	2	0	0
DEFB115	0	0	0	0
DEFB116	0	0	0	0
DEFB118	0	0	0	0
DEFB119	0	0	0	0
DEFB121	0	0	0	0
DEFB122	0	0	0	0
DEFB123	0	0	0	0
DEFB124	0	0	1	0
REM1	0	1	0	0
LINC00028	0	0	0	0
HM13	1322	1494	1766	1809
MCTS2P	38	31	35	30
HM13-AS1	9	6	6	16
ID1	80	83	53	52
MIR3193	0	0	0	0
COX4I2	0	0	0	0
BCL2L1	729	765	665	722
ABALON	8	9	8	4
TPX2	618	633	227	237
MYLK2	0	0	1	0
FOXS1	0	0	0	0
DUSP15	1	10	4	1
TTLL9	0	2	0	1
PDRG1	188	214	133	157
XKR7	0	0	0	0
CCM2L	1	1	0	0
HCK	0	0	0	0
TM9SF4	840	852	808	865
TSPY26P	0	3	1	0
PLAGL2	317	291	206	205
POFUT1	1007	1044	870	871
MIR1825	0	0	0	0
KIF3B	1137	1291	1373	1311
ASXL1	549	619	415	462
NOL4L	84	114	78	80
LOC101929698	0	0	0	0
LOC149950	0	0	0	0
C20orf203	1	1	1	0
COMMD7	244	255	263	247
DNMT3B	48	42	24	26
MAPRE1	1108	1156	736	841
SUN5	0	0	0	0
BPIFB2	0	0	1	1
BPIFB6	0	0	0	0
BPIFB3	0	0	0	0
BPIFB4	0	0	0	0
BPIFA2	0	0	0	0
BPIFA4P	2	1	1	0
BPIFA3	0	0	0	0
BPIFA1	0	0	0	0
BPIFB1	1	4	5	1
CDK5RAP1	177	177	101	128
SNTA1	308	343	284	321
CBFA2T2	722	760	541	541
NECAB3	475	581	556	601
C20orf144	13	3	9	12
ACTL10	99	112	50	62
E2F1	284	346	124	128
PXMP4	0	0	0	0
ZNF341	70	53	43	56
ZNF341-AS1	0	4	3	1
CHMP4B	682	639	592	581
RALY-AS1	39	30	40	25
RALY	1178	1351	1208	1305
MIR4755	0	0	0	0
EIF2S2	556	615	525	604
ASIP	4	9	14	9
AHCY	2437	2623	2166	2289
ITCH	747	728	570	623
MIR644A	0	0	0	0
DYNLRB1	653	729	568	569
MAP1LC3A	47	26	51	55
PIGU	159	174	130	145
TP53INP2	503	595	972	1104
NCOA6	671	738	558	552
HMGB3P1	0	0	0	1
GGT7	94	108	109	115
ACSS2	386	388	348	422
GSS	776	837	706	769
MYH7B	11	24	17	18
MIR499A	0	0	0	0
MIR499B	0	0	0	0
TRPC4AP	920	983	999	1034
EDEM2	176	163	200	194
PROCR	14	11	11	16
MMP24	38	34	31	39
MMP24-AS1	390	426	419	437
EIF6	609	654	611	547
FAM83C-AS1	1	2	0	0
FAM83C	0	0	0	0
UQCC1	106	82	98	79
GDF5	1	0	0	0
MIR1289-1	0	0	0	0
CEP250	412	516	381	405
C20orf173	0	0	0	0
ERGIC3	1517	1752	1734	1824
FER1L4	39	34	34	20
SPAG4	14	5	4	12
CPNE1	694	795	501	458
RBM12	1048	1020	638	667
NFS1	246	320	268	257
ROMO1	290	335	277	325
RBM39	1841	2028	1673	1667
PHF20	785	835	826	852
SCAND1	879	889	806	806
CNBD2	0	0	2	0
LINC00657	2169	2326	2513	2475
EPB41L1	345	401	375	370
AAR2	270	306	244	279
DLGAP4	397	443	335	359
DLGAP4-AS1	1	1	0	0
MYL9	11	13	3	5
TGIF2	129	120	97	101
TGIF2-C20orf24	0	0	0	0
C20orf24	212	184	184	169
SLA2	7	4	9	11
NDRG3	520	586	478	505
DSN1	172	180	90	110
SOGA1	1079	1207	620	735
TLDC2	3	1	0	0
SAMHD1	213	206	130	179
RBL1	128	126	56	84
MROH8	5	1	4	4
RPN2	3106	3337	3502	3729
GHRH	0	0	0	0
MANBAL	238	258	247	198
SRC	480	594	398	369
BLCAP	430	445	402	404
NNAT	9	9	7	9
LINC00489	0	0	0	0
LOC100287792	1	1	1	1
CTNNBL1	230	233	172	183
VSTM2L	70	71	52	54
TTI1	229	243	247	217
RPRD1B	395	443	382	398
TGM2	41	58	68	60
KIAA1755	0	0	0	0
LOC149684	0	0	0	0
BPI	0	0	0	0
LBP	0	2	1	2
SNHG17	118	141	92	86
SNORA71B	7	5	4	6
SNORA71A	3	1	1	0
SNORA71C	3	1	1	2
SNORA71D	0	0	0	0
SNHG11	42	69	54	67
SNORA71E	0	0	1	1
SNORA60	1	1	4	0
RALGAPB	980	1095	1271	1293
MIR548O2	0	0	0	0
ADIG	0	1	1	2
ARHGAP40	2	1	0	3
SLC32A1	0	0	0	0
ACTR5	78	112	68	61
PPP1R16B	0	0	0	0
FAM83D	291	352	110	115
DHX35	133	140	103	97
LOC339568	0	0	0	0
LINC01370	1	1	0	0
MAFB	426	478	392	459
TOP1	1467	1629	1115	1189
PLCG1-AS1	3	2	2	2
PLCG1	786	899	510	557
MIR6871	0	0	0	0
ZHX3	366	341	297	351
LPIN3	214	259	264	228
EMILIN3	4	6	1	0
CHD6	1153	1292	963	1039
PTPRT	1	1	0	0
LOC101927159	0	0	0	0
SRSF6	1745	1792	1523	1558
L3MBTL1	43	37	41	29
SGK2	6	6	23	15
IFT52	192	219	190	163
MYBL2	376	443	136	151
GTSF1L	0	0	0	0
TOX2	6	12	7	3
JPH2	1	1	2	1
OSER1	209	229	212	226
OSER1-AS1	27	28	27	23
GDAP1L1	0	0	1	0
FITM2	69	80	95	102
R3HDML	0	0	0	0
HNF4A	0	0	0	0
HNF4A-AS1	0	0	0	0
MIR3646	0	0	0	0
LINC01430	0	0	0	0
C20orf62	0	0	0	0
TTPAL	335	335	215	241
SERINC3	1204	1249	1462	1433
PKIG	75	99	96	116
ADA	90	76	79	76
LINC01260	0	0	2	1
WISP2	0	0	0	0
KCNK15	0	0	0	0
RIMS4	14	15	10	10
YWHAB	2092	2332	1847	1994
PABPC1L	222	237	208	208
TOMM34	370	427	330	332
STK4-AS1	7	3	7	2
STK4	217	306	184	209
KCNS1	0	1	0	0
WFDC5	0	0	0	1
WFDC12	1	0	0	0
PI3	0	0	0	0
SEMG1	0	0	10	1
SEMG2	0	0	12	11
SLPI	18	29	82	91
MATN4	1	0	2	2
RBPJL	0	0	0	0
SDC4	226	263	271	295
SYS1	206	258	253	262
SYS1-DBNDD2	0	0	0	0
TP53TG5	5	2	2	2
DBNDD2	1	1	1	0
PIGT	611	674	755	823
MIR6812	1	0	0	0
WFDC2	0	1	2	1
SPINT3	1	1	0	0
WFDC6	0	0	0	0
EPPIN-WFDC6	0	0	0	0
EPPIN	0	0	0	0
WFDC8	0	0	0	0
WFDC9	0	0	0	0
WFDC10A	0	0	0	0
WFDC11	0	0	0	0
WFDC10B	0	0	0	0
WFDC13	0	0	0	0
MIR3617	0	0	0	0
SPINT4	0	0	0	0
WFDC3	2	7	3	6
DNTTIP1	120	132	88	99
UBE2C	185	232	93	80
TNNC2	1	1	2	2
SNX21	97	108	106	132
ACOT8	145	182	137	187
ZSWIM3	55	63	34	43
ZSWIM1	177	181	167	146
SPATA25	3	6	4	6
NEURL2	12	15	11	9
CTSA	188	194	172	215
PLTP	1	1	1	0
PCIF1	303	263	260	240
ZNF335	298	356	228	249
MMP9	1	2	0	0
SLC12A5	1	0	0	0
NCOA5	392	426	268	274
CD40	0	0	0	0
CDH22	2	0	0	0
SLC35C2	323	364	511	470
ELMO2	547	585	777	806
ZNF663P	0	3	1	0
MKRN7P	0	3	0	1
ZNF334	50	53	35	40
OCSTAMP	0	0	0	0
SLC13A3	43	24	33	39
TP53RK	289	364	260	245
SLC2A10	13	10	2	3
EYA2	2	1	4	13
MIR3616	0	0	0	0
ZMYND8	854	903	789	860
LOC100131496	1	3	5	3
NCOA3	217	230	210	205
SULF2	8	7	2	3
LINC01522	0	0	0	0
LINC01523	0	0	0	0
LINC00494	0	0	0	0
PREX1	1	1	2	0
ARFGEF2	1066	1066	1038	1063
CSE1L-AS1	4	3	0	1
CSE1L	1512	1646	904	870
STAU1	1140	1249	1138	1139
DDX27	451	516	374	354
ZNFX1	490	510	440	434
ZFAS1	479	586	566	614
SNORD12C	2	0	2	0
SNORD12B	4	5	4	2
SNORD12	9	9	10	4
KCNB1	4	0	0	1
PTGIS	0	0	0	0
B4GALT5	709	729	554	582
SLC9A8	269	281	324	302
SPATA2	248	278	231	262
RNF114	699	755	647	682
SNAI1	8	6	8	4
TRERNA1	0	0	0	0
UBE2V1	27	19	16	13
TMEM189-UBE2V1	0	0	0	0
TMEM189	162	202	118	106
LINC01273	3	4	6	3
CEBPB-AS1	8	19	18	18
CEBPB	119	139	106	114
LINC01272	0	1	0	0
LINC01270	1	1	0	1
LINC01271	0	0	0	0
PTPN1	667	613	489	502
MIR645	0	0	0	0
FAM65C	1	3	2	1
MIR1302-5	0	0	0	0
LOC100506175	0	0	0	0
PARD6B	69	71	69	56
BCAS4	30	22	41	43
ADNP	1227	1399	960	959
ADNP-AS1	14	16	7	16
DPM1	283	298	298	305
MOCS3	157	164	137	140
KCNG1	58	63	44	64
NFATC2	5	2	6	5
MIR3194	0	0	0	0
ATP9A	844	937	968	962
SALL4	0	0	0	0
LINC01429	0	0	0	0
ZFP64	170	196	129	120
LINC01524	0	0	0	0
TSHZ2	6	1	3	3
LOC101927770	18	17	18	14
ZNF217	2131	2263	1364	1488
SUMO1P1	0	0	0	0
BCAS1	35	30	88	93
MIR4756	0	0	0	0
CYP24A1	0	0	0	0
PFDN4	131	128	82	89
DOK5	0	0	0	0
LINC01441	0	0	0	0
LINC01440	0	0	0	0
CBLN4	0	0	0	0
MC3R	0	0	0	0
FAM210B	1580	1812	1476	1490
AURKA	179	204	88	83
CSTF1	305	289	273	278
CASS4	4	6	1	1
RTFDC1	496	582	429	529
GCNT7	5	1	5	2
FAM209A	0	1	0	1
FAM209B	1	0	0	1
TFAP2C	151	156	123	104
BMP7	0	0	0	2
BMP7-AS1	0	0	0	0
MIR4325	0	0	0	0
SPO11	0	0	0	0
RAE1	215	241	136	155
MTRNR2L3	7	14	6	11
RBM38	129	158	96	85
CTCFL	0	0	0	0
PCK1	1	0	0	0
ZBP1	1	0	0	0
PMEPA1	1932	2040	2195	2256
NKILA	73	88	76	94
MIR4532	0	0	0	0
C20orf85	0	0	1	0
ANKRD60	0	0	0	0
PPP4R1L	12	21	8	11
RAB22A	380	366	375	410
VAPB	777	891	683	654
APCDD1L	0	0	0	0
APCDD1L-AS1	2	0	0	0
LOC79160	0	0	0	0
STX16	464	541	447	465
STX16-NPEPL1	2	4	5	5
NPEPL1	19	22	13	11
MIR296	0	0	0	0
MIR298	0	0	0	0
GNAS-AS1	0	0	1	0
GNAS	6672	7278	6241	6480
LOC101927932	3	5	2	1
NELFCD	1062	1212	856	840
CTSZ	606	680	557	640
TUBB1	5	11	8	2
SLMO2-ATP5E	0	0	0	0
ATP5E	210	238	209	231
SLMO2	510	522	416	447
ZNF831	0	0	0	0
EDN3	0	0	0	0
PHACTR3	1	0	0	0
LOC100506384	0	0	0	0
SYCP2	2	8	12	5
FAM217B	111	105	117	108
PPP1R3D	90	124	144	123
CDH26	77	72	165	167
C20orf197	1	1	1	1
LOC729296	0	0	0	0
MIR646HG	10	10	7	8
MIR646	0	0	0	0
LOC101928048	0	0	0	0
MIR4533	0	0	0	0
MIR548AG2	0	0	0	0
LOC100506470	0	0	0	0
CDH4	10	4	2	8
MIR1257	0	0	0	0
TAF4	190	217	133	135
MIR3195	0	0	0	0
LSM14B	411	514	313	316
PSMA7	1404	1506	1115	1137
SS18L1	527	564	413	397
MTG2	319	345	226	270
HRH3	3	2	0	3
OSBPL2	435	511	494	499
ADRM1	827	1014	773	824
LAMA5	1280	1495	1358	1518
MIR4758	0	0	0	0
LAMA5-AS1	32	29	60	62
RPS21	2070	2298	2028	2019
CABLES2	149	143	143	120
RBBP8NL	56	68	55	57
GATA5	0	0	0	0
C20orf166-AS1	0	0	0	0
MIR1-1HG	0	0	0	0
MIR1-1	0	0	0	0
MIR133A2	0	0	0	0
SLCO4A1	203	164	142	110
SLCO4A1-AS1	0	1	2	1
NTSR1	8	10	10	5
LINC00659	16	18	13	11
MRGBP	162	170	100	123
OGFR-AS1	6	7	3	7
OGFR	356	412	269	257
COL9A3	3	12	8	9
TCFL5	182	201	134	143
DPH3P1	12	21	10	12
DIDO1	1005	1052	766	876
GID8	851	912	710	781
SLC17A9	0	0	0	1
BHLHE23	0	0	0	0
LOC63930	0	0	1	0
LINC00029	0	0	0	0
LINC01056	0	0	0	0
HAR1B	0	0	0	0
HAR1A	1	0	0	1
MIR124-3	0	0	0	0
YTHDF1	673	808	520	561
BIRC7	3	0	1	0
MIR3196	0	0	0	0
NKAIN4	0	0	0	0
FLJ16779	0	1	2	0
ARFGAP1	694	741	635	681
MIR4326	0	0	0	0
COL20A1	0	0	0	1
CHRNA4	3	3	11	15
LOC100130587	4	2	7	7
KCNQ2	4	7	2	13
EEF1A2	4850	5466	3878	4111
PPDPF	1349	1464	1325	1321
PTK6	46	52	51	58
SRMS	14	14	17	22
C20orf195	1	2	2	1
HELZ2	427	447	468	464
GMEB2	293	304	289	301
STMN3	17	19	11	14
RTEL1	9	3	8	13
RTEL1-TNFRSF6B	0	0	0	0
TNFRSF6B	1	1	0	0
ARFRP1	178	183	181	173
ZGPAT	125	142	122	141
LIME1	57	89	52	37
SLC2A4RG	650	719	492	541
ZBTB46	51	61	38	46
ZBTB46-AS1	0	0	0	1
ABHD16B	126	106	102	99
TPD52L2	875	899	762	816
DNAJC5	1378	1581	1841	1934
MIR941-1	0	0	0	0
MIR941-4	0	0	0	0
MIR941-5	0	0	0	0
MIR941-2	0	0	0	0
MIR941-3	0	0	0	0
UCKL1	241	275	181	195
MIR1914	0	2	1	7
MIR647	2	1	1	1
UCKL1-AS1	15	12	4	12
ZNF512B	509	535	386	388
SAMD10	54	48	54	51
PRPF6	891	986	856	870
LINC00176	12	20	12	8
SOX18	0	0	2	1
TCEA2	139	101	94	96
RGS19	21	22	25	12
MIR6813	0	0	0	0
OPRL1	3	9	2	2
LKAAEAR1	0	1	0	0
NPBWR2	0	0	0	0
MYT1	45	40	16	24
PCMTD2	495	597	401	404
LINC00266-1	0	4	0	1
ICOSLG	2	2	4	2
C21orf33	27	39	50	32
PWP2	34	42	10	17
LINC00313	0	0	0	0
LINC00319	0	0	0	0
SIK1	6	8	7	11
CBS	58	71	44	53
U2AF1	1	2	1	1
CRYAA	0	0	0	0
MIR8069-1	0	0	0	0
MIR8069-2	0	0	0	0
SMIM11	0	0	0	0
C21orf140	0	0	0	0
LOC100507412	1	1	0	0
MIR6724-1	0	0	0	0
MIR6724-4	0	0	0	0
MIR6724-3	0	0	0	0
MIR6724-2	0	0	0	0
MIR3648-1	0	0	0	0
MIR3648-2	0	0	0	0
MIR3687-1	0	0	0	0
MIR3687-2	0	0	0	0
RNA18S5	0	0	0	0
RNA5-8S5	0	0	0	0
RNA28S5	1	5	4	4
RNA45S5	17	6	4	10
TEKT4P2	4	5	3	0
MGC39584	13	11	9	18
BAGE	4	2	0	0
BAGE5	0	0	0	0
BAGE4	0	0	0	0
BAGE2	0	0	0	0
BAGE3	0	0	0	0
TPTE	1	0	0	5
ANKRD30BP2	0	0	0	0
MIR3156-3	0	0	0	0
LOC102724188	0	0	0	0
POTED	0	0	0	0
MIR3118-1	0	0	0	0
CYP4F29P	0	0	0	0
ANKRD20A11P	0	1	0	0
LIPI	0	0	0	0
RBM11	8	17	7	9
ABCC13	0	0	0	0
HSPA13	584	692	688	684
SAMSN1	0	0	0	0
SAMSN1-AS1	0	0	0	0
LOC388813	0	0	0	0
NRIP1	1087	1066	739	797
USP25	271	308	235	269
MIR99AHG	115	139	130	127
MIR99A	1	0	0	0
MIRLET7C	0	0	0	0
MIR125B2	1	0	0	0
LINC01549	0	0	0	0
CXADR	400	441	309	320
BTG3	206	219	149	160
C21orf91-OT1	2	0	0	0
C21orf91	151	158	113	119
CHODL-AS1	0	0	0	0
CHODL	0	1	0	0
TMPRSS15	0	0	0	0
LOC101927797	0	0	0	0
MIR548X	0	0	0	0
LINC00320	0	0	0	0
NCAM2	2643	2719	2904	3015
LINC00317	0	0	0	0
LINC01425	0	1	0	2
LOC101927843	7	6	9	10
LINC00308	1	1	4	1
MIR6130	0	0	1	0
D21S2088E	0	0	0	0
LOC101927869	0	0	0	0
LOC339622	0	0	0	0
LINC00158	1	0	0	1
MIR155HG	0	0	0	0
MIR155	0	0	0	0
LINC00515	0	0	2	0
MRPL39	222	231	208	222
JAM2	5	4	4	4
ATP5J	468	471	405	421
GABPA	210	170	123	129
APP	5473	6022	6354	6327
CYYR1	0	0	0	0
ADAMTS1	15487	16186	11814	11850
ADAMTS5	2	3	1	1
MIR4759	0	0	0	0
LINC00113	0	0	0	1
LINC00314	0	0	0	0
LOC284825	114	128	25	20
LOC101927973	0	1	0	0
LINC00161	130	130	110	117
N6AMT1	69	84	45	39
LTN1	300	386	267	269
RWDD2B	159	186	142	166
USP16	505	441	458	500
CCT8	2295	2566	1722	1820
MAP3K7CL	2	4	3	0
LINC00189	0	0	0	0
BACH1	262	282	210	226
BACH1-IT2	0	1	0	0
GRIK1	2	3	0	0
GRIK1-AS2	0	0	1	0
GRIK1-AS1	0	0	1	0
CLDN17	0	0	0	0
LINC00307	0	0	0	0
CLDN8	172	153	294	272
KRTAP24-1	0	0	0	0
KRTAP25-1	0	0	0	0
KRTAP26-1	0	0	1	0
KRTAP27-1	0	0	0	0
KRTAP23-1	0	0	0	0
KRTAP13-2	4	1	1	0
MIR4327	0	0	0	0
KRTAP13-1	0	0	0	0
KRTAP13-3	0	0	0	0
KRTAP13-4	0	0	0	0
KRTAP15-1	0	0	0	0
KRTAP19-1	0	0	0	0
KRTAP19-2	0	0	0	0
KRTAP19-3	0	0	0	0
KRTAP19-4	0	0	0	0
KRTAP19-5	0	0	0	0
KRTAP19-6	0	0	0	0
KRTAP19-7	0	0	0	0
KRTAP22-2	0	0	1	0
KRTAP6-3	0	0	0	0
KRTAP6-2	0	0	0	0
KRTAP22-1	0	0	0	0
KRTAP6-1	0	0	0	0
KRTAP20-1	0	0	0	0
KRTAP20-4	0	0	0	0
KRTAP20-2	0	0	0	0
KRTAP20-3	0	0	0	0
KRTAP21-3	0	0	0	0
KRTAP21-2	0	0	0	0
KRTAP21-1	0	0	0	0
KRTAP8-1	0	0	0	0
KRTAP7-1	0	0	0	0
KRTAP11-1	0	0	0	0
KRTAP19-8	0	0	0	0
TIAM1	1	1	0	1
SOD1	1381	1456	1311	1351
SCAF4	331	311	230	260
HUNK	0	5	0	0
LINC00159	1	0	0	0
MIS18A	91	105	35	51
MRAP	0	0	1	0
URB1	792	893	718	681
SNORA80A	1	0	0	0
URB1-AS1	131	135	130	142
EVA1C	6	9	3	10
TCP10L	8	8	3	5
C21orf59	503	506	439	447
SYNJ1	262	321	225	246
PAXBP1-AS1	38	26	38	26
PAXBP1	340	383	265	290
C21orf62-AS1	6	5	7	11
C21orf62	1	1	1	1
OLIG2	0	1	0	1
LINC00945	0	0	0	0
OLIG1	4	1	4	4
LOC101928107	0	0	0	0
LINC01548	0	0	0	0
IFNAR2	134	154	107	97
IL10RB-AS1	5	11	3	3
IL10RB	139	150	169	218
IFNAR1	977	1059	959	1038
IFNGR2	211	198	187	207
TMEM50B	593	640	711	743
DNAJC28	37	16	16	23
GART	991	1089	719	744
SON	3496	4020	3323	3439
MIR6501	0	0	0	0
DONSON	78	77	69	52
CRYZL1	123	128	126	139
ITSN1	351	375	320	354
ATP5O	656	743	647	678
LINC00649	30	20	25	24
SLC5A3	443	515	317	379
MRPS6	112	103	117	90
LINC00310	2	0	0	0
KCNE2	3	8	3	3
KCNE1	0	0	0	0
RCAN1	160	204	211	212
CLIC6	0	1	1	1
LINC00160	8	12	17	17
LINC01426	0	1	0	0
RUNX1	55	49	79	87
RUNX1-IT1	0	0	0	0
LOC100506403	0	0	0	0
MIR802	0	0	0	0
LOC101928269	0	0	0	0
LINC01436	0	2	0	0
SETD4	164	145	107	105
LOC100133286	6	7	7	7
CBR1	156	169	139	145
CBR3-AS1	108	66	92	91
CBR3	38	23	24	20
DOPEY2	712	735	1145	1205
MORC3	243	272	205	225
CHAF1B	169	188	82	85
CLDN14	0	1	5	0
SIM2	309	370	215	247
HLCS	525	577	621	632
RIPPLY3	0	0	2	0
LOC105372795	7	8	7	12
PIGP	223	228	214	241
TTC3	1785	2028	1801	1851
DSCR9	1	2	1	2
DSCR3	359	345	352	336
DYRK1A	412	462	358	392
KCNJ6	1	0	1	0
DSCR4	0	0	0	0
DSCR8	0	1	1	1
DSCR10	0	0	0	0
KCNJ15	0	0	0	0
LINC01423	0	0	0	0
ERG	0	0	0	0
LINC00114	0	0	0	0
ETS2	62	64	65	62
LOC101928398	0	0	0	0
LOC400867	1	0	0	0
LOC101928435	0	0	0	0
PSMG1	228	236	166	185
BRWD1	860	1006	840	857
BRWD1-IT2	35	48	34	50
BRWD1-AS1	2	1	2	2
HMGN1	891	1012	652	704
WRB	329	280	278	287
LCA5L	26	18	21	22
SH3BGR	45	33	45	73
MIR6508	0	0	0	0
B3GALT5-AS1	0	0	0	0
B3GALT5	1	0	0	0
IGSF5	7	9	1	2
PCP4	0	0	0	1
DSCAM	0	1	0	0
MIR4760	0	0	0	0
DSCAM-AS1	0	0	6	7
DSCAM-IT1	0	0	0	0
LINC00323	0	0	0	0
MIR3197	0	0	0	0
BACE2	10	13	14	10
PLAC4	0	1	2	1
FAM3B	6	5	29	18
MX2	1	1	3	2
MX1	11	11	11	12
TMPRSS2	12020	13422	14714	15363
LINC00111	0	0	0	0
LINC00479	0	3	1	2
LINC00112	0	0	1	2
RIPK4	565	579	458	487
MIR6814	2	0	0	2
PRDM15	297	269	207	200
C2CD2	311	304	334	306
ZBTB21	557	606	551	545
ZNF295-AS1	3	2	1	2
UMODL1	6	2	3	11
UMODL1-AS1	0	0	1	0
ABCG1	51	45	75	103
TFF3	26	35	28	27
TFF2	0	0	0	0
TFF1	3	2	4	3
TMPRSS3	0	0	1	0
UBASH3A	1	0	0	0
RSPH1	37	48	73	66
SLC37A1	416	399	458	505
LOC101928233	0	1	0	0
PDE9A	409	421	227	219
WDR4	124	158	92	100
NDUFV3	351	443	353	327
ERVH48-1	6	10	7	7
MIR5692B	1	3	0	1
PKNOX1	256	241	231	204
LINC00322	0	0	1	0
TCONS_00029157	2	0	0	0
HSF2BP	5	9	4	3
MIR6070	0	0	0	0
